name,keyword,rating,type,review_count
신포국제시장,"['신나는', '포토존', '볼거리', '재밌는', '힐링']",4.1,쇼핑,88
화도진공원,"['볼거리', '재밌는', '힐링']",4,인문,19
월미도,"['웅장한', '특별한', '조용한', '신나는', '포토존']",4.1,자연,78
월미테마파크,"['볼거리', '놀거리', '힐링', '포토존']",4,인문,27
팔미도유람선,"['신나는', '웅장한', '재밌는', '포토존']",3.9,인문,37
청라호수공원,"['특별한', '조용한', '신나는', '포토존', '힐링']",4.6,인문,16
청라 스파렉스,['포토존'],4,인문,12
인천나비공원,"['신나는', '포토존', '볼거리', '재밌는', '힐링']",4.3,인문,22
