name,keyword,rating,type,review_count,x,y,content_id,small_image
천불동계곡,[],4.7,자연,0,128.4884989,38.173561799999995,125680,http://tong.visitkorea.or.kr/cms/resource/53/2733353_image2_1.jpg
문암해변,[],4.5,자연,0,129.2883702,37.30900515,125690,null
봉포해변,"['경치', '활기찬', '산책', '아름다운']",4.3,자연,15,128.56617269999998,38.25249856,125692,null
낙산 해수욕장,"['아름다운', '포토존']",4.3,자연,56,128.6336291,38.11775444,125702,http://tong.visitkorea.or.kr/cms/resource/31/2745231_image2_1.jpg
속초해수욕장,"['산책', '포토존', '아름다운', '경치']",4.3,자연,32,128.6019936,38.19057591,125707,http://tong.visitkorea.or.kr/cms/resource/63/2733163_image2_1.jpg
죽도해수욕장,[],4.2,자연,0,128.7595861,37.97235156,125720,http://tong.visitkorea.or.kr/cms/resource/07/2738607_image2_1.jpg
금강굴,"['경치', '아름다운', '포토존', '산책']",4.3,자연,14,128.4884989,38.173561799999995,125730,http://tong.visitkorea.or.kr/cms/resource/37/1966637_image2_1.jpg
육림랜드,[],4,인문,0,127.72009320000001,37.91919625,125731,http://tong.visitkorea.or.kr/cms/resource/42/2748542_image2_1.jpg
기미만세공원,[],3.8,인문,0,128.1463918,37.78452546,125736,http://tong.visitkorea.or.kr/cms/resource/03/2494203_image2_1.jpg
황지연못,"['산책', '도심의', '경치', '포토존']",4.2,자연,14,128.9910509,37.17276224,125740,http://tong.visitkorea.or.kr/cms/resource/10/2611510_image2_1.jpg
현산공원,[],4.5,인문,0,128.6171764,38.07467024,125749,http://tong.visitkorea.or.kr/cms/resource/99/2495299_image2_1.jpg
청초호,[],4.5,자연,0,128.5904917,38.19638057,125750,http://tong.visitkorea.or.kr/cms/resource/15/2728515_image2_1.jpg
구룡사,"['아름다운', '놀거리', '조용한', '경치']",4.2,역사,26,128.0498676,37.39950434,125761,http://tong.visitkorea.or.kr/cms/resource/53/2391453_image2_1.jpg
백담사,[],4.3,역사,0,128.37439840000002,38.16517446,125767,null
낙산사,"['산책', '아름다운', '힐링', '경치']",4.5,역사,100,128.6273545,38.12485627,125773,http://tong.visitkorea.or.kr/cms/resource/56/2739156_image2_1.jpg
영금정,"['아름다운', '산책', '경치', '놀거리']",4.5,자연,50,128.6018124,38.2119512,125779,http://tong.visitkorea.or.kr/cms/resource/96/2716496_image2_1.jpg
청간정,[],4.1,역사,0,128.5583925,38.26446646,125796,null
강릉 선교장,"['전통적', '포토존']",4.3,역사,46,128.8850778,37.78655887,125800,http://tong.visitkorea.or.kr/cms/resource/93/2687993_image2_1.jpg
고성 왕곡마을,[],4.1,역사,0,128.4995816,38.34059811,125804,http://tong.visitkorea.or.kr/cms/resource/92/2654792_image2_1.jpg
제4땅굴,[],4.2,역사,0,128.1092455,38.32230383,125808,null
월악산국립공원,"['아름다운', '웅장한', '조용한', '포토존']",4.5,자연,13,128.0785243,36.88695281,125814,null
계룡산국립공원,"['산책', '경치']",4.5,자연,19,127.2324621,36.3568733,125817,http://tong.visitkorea.or.kr/cms/resource/77/1600077_image2_1.jpg
칠갑산도립공원,[],4.4,자연,0,126.88411440000002,36.39983172,125819,http://tong.visitkorea.or.kr/cms/resource/67/3027467_image2_1.jpg
용봉산,[],4.4,자연,0,126.6474905,36.63614769,125821,http://tong.visitkorea.or.kr/cms/resource/39/1962039_image2_1.jpg
수옥폭포,[],4.4,자연,0,128.0285783,36.80683886,125837,null
무창포해수욕장,[],4.4,자연,0,126.5365469,36.2445352,125841,http://tong.visitkorea.or.kr/cms/resource/40/2022140_image2_1.jpg
삽시도,[],3.5,자연,0,126.3564301,36.34007395,125844,http://tong.visitkorea.or.kr/cms/resource/27/2024327_image2_1.jpg
삼봉해수욕장,[],4.3,자연,0,126.3166915,36.57073842,125846,http://tong.visitkorea.or.kr/cms/resource/46/2716446_image2_1.jpg
난지섬해수욕장,[],4.3,자연,0,126.42419140000001,37.04701029,125849,http://tong.visitkorea.or.kr/cms/resource/20/1932520_image2_1.jpg
청포대해수욕장,[],4.2,자연,0,126.3026355,36.63873035,125852,http://tong.visitkorea.or.kr/cms/resource/95/637295_image2_1.jpg
정방사,[],4.5,역사,0,128.2066429,36.99917563,125876,http://tong.visitkorea.or.kr/cms/resource/28/1812428_image2_1.jpg
각원사,"['조용한', '도심의', '재밌는', '활기찬']",4.5,역사,42,127.197005,36.834079,125885,http://tong.visitkorea.or.kr/cms/resource/87/2648687_image2_1.jpg
용암사(옥천),[],4.4,역사,0,127.56431,36.25923757,125890,http://tong.visitkorea.or.kr/cms/resource/21/2622321_image2_1.jpg
갑사,"['경치', '아름다운', '조용한', '활기찬']",4,역사,12,127.18738529999999,36.36534376,125891,http://tong.visitkorea.or.kr/cms/resource/21/2675821_image2_1.jpg
수덕사,"['아름다운', '조용한', '신기한']",4.4,역사,28,126.6208173,36.65743366,125896,http://tong.visitkorea.or.kr/cms/resource/85/2357885_image2_1.jpg
도담삼봉,"['경치', '아름다운', '산책', '놀거리']",4.1,자연,54,128.344825,37.00034474,125913,http://tong.visitkorea.or.kr/cms/resource/67/2618367_image2_1.jpg
단양 적성,[],3.8,역사,0,128.3217092,36.94511177,125922,http://tong.visitkorea.or.kr/cms/resource/82/1954582_image2_1.jpg
보령 충청수영성,[],4.3,역사,0,126.5230097,36.43939317,125923,http://tong.visitkorea.or.kr/cms/resource/04/220604_image2_1.jpg
추사고택,[],4.4,역사,0,126.79980990000001,36.74688481,125936,http://tong.visitkorea.or.kr/cms/resource/22/2357922_image2_1.jpg
현충사,"['경치', '산책', '아름다운']",4.7,역사,50,127.0328983,36.80762635,125945,http://tong.visitkorea.or.kr/cms/resource/38/1599738_image2_1.jpg
예산 임존성,[],4.1,역사,0,126.77477179999998,36.59252714,125965,http://tong.visitkorea.or.kr/cms/resource/52/2719752_image2_1.jpg
솔뫼성지,"['힐링', '산책', '경치', '놀거리']",4.6,역사,11,126.78592859999999,36.81995392,125969,http://tong.visitkorea.or.kr/cms/resource/27/2635127_image2_1.jpg
진천 농다리,"['아름다운', '웅장한', '힐링', '조용한']",4.3,역사,12,127.43989380000001,36.85007317,125973,http://tong.visitkorea.or.kr/cms/resource/74/2517874_image2_1.jpg
단양 신라 적성비,[],4.1,역사,0,128.32166759999998,36.94407022,125979,http://tong.visitkorea.or.kr/cms/resource/12/567012_image2_1.jpg
운주산성,[],4,역사,0,127.2420634,36.68298329,125981,null
배론성지,[],4.6,역사,0,128.0837937,37.1612158,125982,http://tong.visitkorea.or.kr/cms/resource/63/1822963_image2_1.jpg
서산 해미읍성,"['전통적', '경치', '포토존']",4.3,역사,41,126.5503805,36.71360931,125990,null
외암민속마을,"['조용한', '힐링', '아름다운', '놀거리']",4.1,역사,57,127.0144465,36.7310404,126001,null
청풍문화재단지,"['전통적', '산책', '경치', '조용한']",4.2,인문,27,128.1710682,37.00468267,126004,http://tong.visitkorea.or.kr/cms/resource/66/2366266_image2_1.jpg
보은 속리 정이품송,[],4.3,자연,0,127.81544720000001,36.51751257,126009,http://tong.visitkorea.or.kr/cms/resource/80/220580_image2_1.jpg
서천 마량리 동백나무 숲,[],3.9,자연,0,126.4935202,36.13790501,126010,http://tong.visitkorea.or.kr/cms/resource/24/2482724_image2_1.jpg
금오산도립공원,"['힐링', '활기찬', '조용한', '경치']",4.4,자연,10,128.3135809,36.11077082,126016,null
문경새재도립공원,"['조용한', '경치', '활기찬', '아름다운']",4.5,자연,47,128.077003,36.76165327,126017,http://tong.visitkorea.or.kr/cms/resource/61/3009761_image2_1.jpg
주왕산국립공원,"['경치', '아름다운', '산책', '재밌는']",4.6,자연,27,129.1420356,36.3939208,126020,null
주흘산,[],4.2,자연,0,128.10139180000002,36.78836732,126036,http://tong.visitkorea.or.kr/cms/resource/13/3041913_image2_1.jpg
희방폭포,[],4.3,자연,0,128.4578284,36.91818685,126049,null
밀양 얼음골,[],4.2,자연,0,128.9676547,35.58193996,126063,null
광안리해수욕장,"['아름다운', '산책', '경치', '포토존']",4.6,자연,100,129.1184922,35.15379084,126078,http://tong.visitkorea.or.kr/cms/resource/75/2648975_image2_1.jpg
다대포해수욕장,"['산책', '아름다운', '힐링', '경치']",4.4,자연,60,128.9680332,35.04641953,126079,null
송정해수욕장,"['전통적', '아름다운', '활기찬', '포토존']",4.4,자연,90,129.1997133,35.1786125,126080,http://tong.visitkorea.or.kr/cms/resource/62/2385262_image2_1.jpg
송정 솔바람해변,[],4.3,자연,0,128.0243657,34.72139729,126085,null
매물도,"['아름다운', '웅장한', '조용한', '활기찬']",4.3,자연,20,128.5701426,34.6389356,126087,null
칠포해수욕장,[],4.1,자연,0,129.40055379999998,36.13196102,126092,null
화진해수욕장,[],4.1,자연,0,129.3738916,36.25181359,126094,http://tong.visitkorea.or.kr/cms/resource/66/634866_image2_1.jpg
진하해수욕장,['경치'],4.3,자연,12,129.3451995,35.38272774,126096,http://tong.visitkorea.or.kr/cms/resource/83/217383_image2_1.jpg
덕구온천스파월드,"['힐링', '경치', '산책']",4.5,인문,16,129.2842332,37.07905923,126114,http://tong.visitkorea.or.kr/cms/resource/22/2395322_image2_1.jpg
부산어린이대공원,"['산책', '포토존', '놀거리', '힐링']",4.5,인문,17,129.0426785,35.18725791,126119,http://tong.visitkorea.or.kr/cms/resource/57/3016457_image2_1.jpg
용두산공원,"['산책', '포토존', '경치', '도심의']",4.3,자연,100,129.0326928,35.10048411,126121,http://tong.visitkorea.or.kr/cms/resource/57/2640557_image2_1.jpg
동촌유원지,[],4.2,인문,0,128.6546406,35.87827847,126128,http://tong.visitkorea.or.kr/cms/resource/56/2493956_image2_1.jpg
경상감영공원,"['조용한', '활기찬', '힐링', '도심의']",4,인문,31,128.5923073,35.87205303,126133,null
보문호,"['경치', '힐링', '아름다운', '활기찬']",4.4,자연,100,129.2766813,35.84432728,126134,null
제황산공원,[],4.2,자연,0,128.6649763,35.14843034,126139,null
당항포관광지,[],4.2,인문,0,128.39758,35.05456938,126142,null
군위 아미타여래삼존 석굴,[],4.2,역사,0,128.64069540000003,36.0477229,126144,http://tong.visitkorea.or.kr/cms/resource/36/2493436_image2_1.jpg
직지사,"['재밌는', '조용한', '신기한', '아름다운']",4.5,역사,27,128.0028416,36.11515633,126155,null
파계사,[],4.4,역사,0,128.63636979999998,35.98320514,126161,http://tong.visitkorea.or.kr/cms/resource/12/1574312_image2_1.jpg
